Quartal;Net income;Depreciation and amortization;Share-based compensation expense;Deferred income tax expense;Other;Loss on disposition of property, plant and equipment;Accounts receivable, net;Inventories;Other current assets;Vendor non-trade receivables;Other current and non-current assets;Accounts payable;Deferred revenue;Other current and non-current liabilities;Cash generated by operating activities;Purchases of marketable securities;Proceeds from maturities of marketable securities;Purchases of other long-term investments;Proceeds from non-marketable securities;Proceeds from Sales of Marketable Securities;Payments made in connection with business acquisitions, net;Payments for acquisition of property, plant and equipment;Payments for acquisition of intangible assets;Other;Cash used in investing activities;Proceeds from issuance of common stock;Excess tax benefits from equity awards;Taxes paid related to net share settlement of equity awards;Dividends and dividend equivalents paid;Repurchase of common stock;Proceeds from issuance of term debt, net;Repayments of term debt;Change in commercial paper, net;Cash used in financing activities;Increase/(decrease) in cash and cash equivalents
Q2 '15;13569;2479;927;-318;;;5804;-113;;6008;4096;-14431;48;1012;19081;-47608;3064;;;24758;-92;-2369;-107;23;-22331;229;93;-96;-2743;-6970;7847;;-99;-1739;-4989
Q3 '15;10677;3084;856;941;;;535;354;;-2278;-162;2165;47;-1231;14988;-45001;4045;0;;31711;-115;-2043;-46;46;-11403;15;327;-724;-3053;-10000;9980;0;700;-2755;830
Q4 '15;11124;3119;915;-1438;385;;-6673;-307;;-3957;-2569;8264;2;4610;13475;-28878;4622;0;;26812;-113;-3618;-40;-160;-1375;219;65;-167;-2964;-13253;5802;0;3999;-6299;5801
Q1 '16;18361;2954;1078;1592;110;;3896;-102;;1826;-1058;-852;-29;-313;27463;-47836;3514;-126;;28262;-86;-3612;-394;-172;-20450;1;224;-597;-2969;-6863;;;-1240;-11444;-4431
Q2 '16;10516;2477;1048;1500;198;;642;170;;4073;1244;-8536;248;-1979;11601;-38406;5634;0;;21789;-54;-2336;-263;-24;-13660;246;40;-154;-2902;-6667;15584;;737;6884;4825
Q3 '16;7796;2526;1054;2099;-308;;597;450;;267;957;-234;-1367;-3203;10634;-25826;5767;-1250;;19875;-6;-2809;-96;-125;-4470;0;127;-610;-3187;-10166;2400;-2500;4495;-9441;-3277
Q4 '16;9014;2548;1030;-253;486;;-4608;-301;;-6217;-88;11739;-406;3589;16533;-30360;6343;-12;0;20610;-151;-3977;753;-603;-7397;248;-391;-209;-3092;-6026;6970;0;-4389;-6889;2247
Q1 '17;17891;2987;1256;1452;-274;;1697;-580;;-375;-1446;2460;42;2124;27234;-54272;6525;0;;32166;-17;-3334;-86;-104;-19122;;;-629;-3130;-10851;0;;2385;-12225;-4113
Q2 '17;11029;2332;1217;1370;65;;2486;-198;;4887;550;-9322;-263;-1583;12570;-45549;5904;0;;28288;-50;-2975;86;94;-14202;273;;-159;-3004;-7161;10975;0;-506;418;-1214
Q3 '17;8717;2354;1193;1942;67;;-802;-236;;-1200;-2333;1650;-197;-2483;8672;-23960;6918;-213;126;16293;-181;-2277;;114;-3180;1;;-858;-3365;-7093;10750;-3500;1987;-2078;3414
Q4 '17;10714;2484;1174;1202;-24;;-5474;-1709;;-7566;-2089;14830;-208;1788;15122;-35705;12428;-182;-126;17817;-81;-3865;-344;116;-9942;281;627;-228;-3270;-7795;6937;0;-14;-3462;1718
Q1 '18;20065;2745;1296;-33737;-11;;-5570;434;;-9660;-197;14588;791;37549;28293;-41272;14048;-94;;16801;-173;-2810;-154;64;-13590;;;-1038;-3339;-10095;6969;;2;-7501;7202
Q2 '18;13822;2739;1348;-498;-140;;9093;-3241;;19375;-856;-27808;-313;1609;15130;-7177;17836;94;;22141;-132;-4195;154;-11;28710;327;;-152;-3190;-22756;0;-500;-1;-26272;17568
Q3 '18;11519;2665;1351;1126;-259;;233;1693;;-4179;988;2081;-581;-2149;14488;-7684;14406;-1788;310;2672;-126;-3267;;-576;3947;1;;-1077;-3653;-20783;0;-6000;-11;-31523;-13088
